#名称
#上切牙
#上尖牙
#前臼齿
#前磨牙
#下切牙
#下犬牙
#下前臼齿
#下臼齿
#重量
#Label: 0=herbivores, 1=carnivore, 2 = omnivore
獾,3,1,3,1,3,1,3,2,10,1
熊,3,1,4,2,3,1,4,3,278,2
美洲狮,3,1,3,1,3,1,2,1,63,1
牛,0,0,3,3,3,1,2,1,400,0
鹿,0,0,3,3,4,0,3,3,200,0
狗,3,1,4,2,3,1,4,3,20,1
狐狸,3,1,4,2,3,1,4,3,5,1
海狗,3,1,4,1,2,1,4,1,200,1
海豹,3,1,3,2,2,1,3,2,268,1
豚鼠,1,0,1,3,1,0,1,3,1,0
麋鹿,0,1,3,3,3,1,3,3,500,0
人,2,1,2,3,2,1,2,3,150,2
美洲虎,3,1,3,1,3,1,2,1,81,1
袋鼠,3,1,2,4,1,0,2,4,55,0
狮子,3,1,3,1,3,1,2,1,175,1
貂,3,1,3,1,3,1,3,2,1,1
鼹鼠,3,1,4,3,3,1,4,3,0.75,1
驼鹿,0,0,3,3,4,0,3,3,900,0
老鼠,1,0,0,3,1,0,0,3,0.3,2
豪猪,1,0,1,3,1,0,1,3,3,0
猪,3,1,4,3,3,1,4,3,50,2
兔子,2,0,3,3,1,0,2,3,1,0
浣熊,3,1,4,2,3,1,4,2,40,2
鼠,1,0,0,3,1,0,0,3,.75,2
红蝙蝠,1,1,2,3,3,1,2,3,1,1
海狮,3,1,4,1,2,1,4,1,415,1
臭鼬,3,1,3,1,3,1,3,2,2,2
松鼠,1,0,2,3,1,0,1,3,2,2
土拨鼠,1,0,2,3,1,0,1,3,4,2
狼,3,1,4,2,3,1,4,3,27,1
